artist_id,artist_name,artist_genres,artist_followers,artist_popularity
1MTOyTCOdjjUGSmtnz2czf,Paths Of Possession,"['american melodeath', 'death metal', 'florida death metal']",3241,11
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"['melodic rap', 'rap', 'trap']",7169611,84
5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,"['classic rock', 'nederpop', 'psychedelic rock']",102799,56
7oEWmZ9dKlAVxTgmjUbYr4,J Boog,"['jawaiian', 'kaneka', 'pacific islands pop']",242483,60
1LLiPRA3oThhxVf7W7gXQZ,Alcatrazz,"['album rock', 'glam metal', 'hard rock', 'metal', 'neo classical metal']",46642,34
5kL0FLCWlo2xLmyRI68bW4,Lunatic Soul,"['neo-progressive', 'polish prog', 'polish psychedelia', 'progressive metal', 'progressive rock', 'symphonic rock']",58520,42
6s22t5Y3prQHyaHWUN1R1C,AJR,"['modern rock', 'pop rap']",2042856,77
0PGB0xsAyDqHHlvNQcgq5S,POWERS,"['indie poptimism', 'la pop']",47354,52
5g1CI7OVvOrk6UfKcx0AYD,Sardelli,[],68,36
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",3171167,76
1Q8mBvNTwlCJWrpyp4zwHt,Jasise,[],27,40
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,"['dark trap', 'new orleans rap', 'underground hip hop']",3958769,87
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,"['emo', 'pop punk', 'rock']",6444640,80
33W24YuaMUEk85MwRX6cRs,Paper Lace,"['bubblegum pop', 'classic uk pop']",27343,40
1D4bP2qFi4EcC4ZdBgH5F8,Jex Nwalor,[],10944,50
1UfzhwcOR4yfX7yHTPfC9m,Joywave,"['indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rochester ny indie', 'rock', 'shimmer pop']",212306,60
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,"['alt z', 'dream smp', 'electropop', 'pop']",3137304,79
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"['electro', 'filter house']",8441809,82
5TNJ1DPxBNr0rBHWuyeo3w,Sin.Clare,[],18,36
42zQWH4QjEPz9xO4tJpgjZ,The Highway Men,[],3257,18
5FrPjxy7XC0PxRNZ80KEGO,Mike Berry,"['merseybeat', 'rock-and-roll']",3038,23
3BO07jDo7Qs7qNLdwRoISM,KALI,['indie pop'],11420,41
2hR4h1Cao2ueuI7Cx9c7V8,Cavetown,"['bedroom pop', 'indie pop']",2575533,79
6GnCucI2uDaYj1j39GFxkn,F.R. David,"['europop', 'french synthpop', 'italian disco']",55976,59
4vIQpS0RDoMNCMRMiZWwmE,Communicant,['indie psychedelic rock'],2294,24
6GI52t8N5F02MxU0g5U69P,Santana,"['blues rock', 'classic rock', 'mexican classic rock']",2384784,73
545idYhdloaSlLGBY8E9u2,Cameo,"['disco', 'electro', 'funk', 'motown', 'popping', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",501223,56
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",1232366,67
21yvlgABtrru0T6CNwGh2L,Kyla Fletcher,[],917,26
00dwwnz3V4kRfu3UFYpJLz,Cherub,[],146994,60
5zxGUxTlb8wAoWbzupXdIK,Don Partridge,['merseybeat'],792,18
6S0GHTqz5sxK5f9HtLXn9q,Garbage,"['alternative dance', 'alternative rock', 'dance pop', 'dance rock', 'electronic rock', 'lilith', 'permanent wave', 'pop rock', 'rock']",939344,61
